essay_id,essay_set,essay,domain1_score,grade_level,type,prompt,strat,tid1,tid2
4136,2,"It really don't matter to me because I only go to the library to get a book when my teacher at school makes me. But a  library should be able to put whatever they want out on a shelf because the library is devided up in sections for kids, young adults, and adults. If a person don't like what he or she sees on a shelf at a library then they don't have to look at it, or check it out. Just because one person don't like it dont mean someone else dosn't.      Librarys don't make people look at or check out something they don't like. so why are people complaining about it. They are getting to checkout books, movies, and music for free unless it becomes over due. So people stop complainging about what the library has on there shelves.",2,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,14,13.0
3971,2,"Censorship in libraries should not be allowed. I believe that even if books, music, movies or magazines on the bookshelves are offense, they should still be left there. They are apart of our history and the history we're creating.     If anyone wants to read a certain book or magazine, there's a big chance they will end up reading it. There are so many ways to get to those things with the technology we have today. You could just look them up online and read them or listen to them off the computer.     Also, censoring in libraries, where everyone feels tranquil and comfortable, can make people rebel and even put the library out of business.     From what i've observed, most people look up inappropriate or offensive things on the internet already. Especially if they know that it's something that could be debated about being censored.     A lot of books and movies, great ones even, contain some offensive content but they are classics. Generations, one after the other, have enjoyed them.     Now tell me, who would want to be the unreasonable person and take that away from anyone who is interested? Everyone should have the right to these books, magazines, movies, and music. Libraries should not censor them.",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,9,2.0
4683,2,"Public libraries should be able to keep all sorts of content for all sorts of people.     I feel very strongly about my statement, because everyone in this world is different. Many people have different interests, religons, and customs. If we took out certain books, and music from the library, it would defeat the purpose of calling it the public library. But if we had different sections of books, music, etc., people would be able to find what they want/need more easily, and no one would have to worry about getting offended.      It would not be fair to anyone in this world if we took out certain books and materials because one person had got offended.",2,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,13,5.0
3346,2,"Should books, magazines, or movies that are found offensive be removed from the shelves? I think that the book, magazine, or movie should stay on the shelf even if it is found offensive. If it is offensive to one person, it doesn't mean that it is to every person. Everyone has their own view on the subject of offensive or not.     I don't think the person that wrote the book or magazine meant for it to be offensive. They were just writing what they thought went along with the story and some people took offense from the book or magazine. But, they shouldn't argue over it because, like I said before, the author probably didn't mean for it to be offensive.     In conclusion, the books should stay on the shelves. Everyone has different point of view. The author probably didnt mean for the book or magazine to be offensive.",2,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,7,15.0
3778,2,"Dear @CAPS1, The things we learn at such a young age really need to be changed. It would really help soicity.Here are some ways how.      All books are diffrent. Some @MONTH1 have offencive language. If books have offenceive language you dont have to read it outloud. You can always substitute other words in there for those or just skip over them like nothing happened.     Some books say sexual things in them that @MONTH1 offend a race of some type or a gender. If books are sexual for your age group then I would recomend choosing a new book. But no matter how you look at it. It could always be much worse than what it is.     Music music needs to be some cencorship on that. When your listening to the radio or a cd or ipod. You cant always censor that. the radio compianies need to do a better job at censoring them out of songs. Many young teens think its cool to use vulgor language.      Movies have diffrent ratings for diffrent age group. I'm sure no one would let a two year old watch a rated @CAPS2 movie. That kid would have nightmares for a week. so censorship woukd really help the parents out on choosing the right movie for family night instead of picking one that they have no clue about.           Magazines are nothing but gossip. Most magazines do nothing but talk about the bad in people or the good in them.There should be some censorship in there because it is a persons life who there talking garbage.      Some say kids are like sponges. Whatever the kid hears he will repeat. Whatever a kid sees he will try to repeat it. So whatever a kid reads or watches will probably be the same.      Things do need a little censorship. If we didnt have that its hard telling what the world would be like. The world would be full of a lot of people with no motivation what so ever and if we take things away then the world would have nothing to do.I know that when I was a little kid I would hear somthing on the radio and think it was cool to say. My parents would'nt know what to do to me. I kjnow as an adult i would'nt want my kids learning the stuff I did at such a young age.",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,1,11.0
4748,2,"No, materials should not be removed from the libraries.First most of books,movies and,music are the best way to support difffernt things.They all have there type of way of convinicing you.There are many different ways to understand but those are certainly the best ways.                          Like a movie some people like to see things to understand them.Because it take times for some people to see instead of reading or listening.It take people to just seat and watch is a great way.Some people that look at a movie an a wrong way get the wrong type of thought about something which make it offensive to them.                                                                    Like music is a great way to understand what someone is trying to say or get across.You have to take time out to really listen and here what they are taking about.If you here a song once and then you just take it a wrong way u never let your mind here what they said.Some people let one word or two make u think differnt about the song.So before u judge listen to the whole song.     A book one of the worlds best way to understand were someone is comeing from.A book is like a short life.If judge a book bye its first couple paragraphs you would never get a meaning out of it.With a book you have to give it a chance to seek in your mind so that you do get an understanding.A book can tell u alot of things.So some people take it offensive.     These types of materials should never be removed from labraries.This things are great ways to understand things.So if you take one thing offensive try another way maybe its a better way for people to understand it.Without this materials we would never understond,discovery anythong in are worl",2,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,13,9.0
4031,2,I dont thank so due to the fact that most libraries in towns and cities are open to the public.  if the person or persons find the peice of material offending then they should pass the item.  or they can skim over it.  on the other hand the person or persons does have the right to freedom of speech but should not exceed their opinion above the level of the law.       if music is played in the library that others do find offended then in my opinion yes they should and can speak up for their rights.  books and magazines should be allowed in the public library even if they feel offended.  this is due to the fact that it is a public library and there should be many many different kinds of books.  this is because people hav different personalities which mean we wll like different things.  that does not mean that others can not speak their opinion because like i said earlier every one in the united states of america has the right to speak what is on their mind even though it @MONTH1 not be what others want to hear they can still do it.     well that is my opinion on what i think should happen.,3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,2,1.0
3393,2,"Should certain materials be removed from your public library? Not everyone has the same views as eachother. What might be offenses to you, @MONTH1 be enjoyable to someone else.      I personally don't believe that anything should be removed from a library, just because something you might not like someone could really enjoy. If you don't want to learn about something you shouldn't take that away from others who do.      I think that if they do start removing things from library shelves they should still be allowed to be viewed to those who want to. Even if you just put them away would be better than taking them out of the library completely.      More and more books are banned everyday, and I personally don't think that's fair to the growing generation who don't get to enjoy the things the old generation have.      So I believe that no books should be removed from library's. If you don't believe or enjoy something doesn't mean someone else wont",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,4,4.0
4353,2,the scary book that you dont want your children to pick up off the shelf i think if your kids read it they would be scared having night mares and you probaly dont want that and if u have the right to move it your kids will have the right to move it because they see what you do they gonna wunt to do so u can do it when they are not around  and yea i believe that cetrtain materials.,2,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,11,3.0
3437,2,"If you get offended because of a book, magazine, music, or movies than don't read, watch, or listen to it. America shouldn't be censored.     Censorship should be fo young childen. If your grown and get offended by something having the '@CAPS1-word' on it then don't read it. If a movie drops the '@CAPS1-bomb' then don't watch it. i completly disagree with someone wanting to remove vulgar words.     I don't get offeneded by swearing because its usually used in a funny way, like telleing jokes, or it makes a crappy song good. Censoship is helpful, but vulgar things shouldn't be removed from society, and it never will.          More often than not, kids learn cuss words fom paents or friends. If you don't want your kid to cuss or be surrounded by cussing then remove them from that situation. It's the parents responsibility to protect or 'censor' a childs environment.",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,8,7.0
3108,2,"Libraries are known as places where a person can go to find material on almost any topic they could want to learn about, whether that material is a book, movie, or magazine. Anyone can use the library, and it is a valuable resource to many people. So why do some libraries insist on removing some of those valuable materials from their shelves?     In past years, censorship in libraries has been the focus of many news reports. In almost all cases, library patrons have been angry that certain materials have been deemed unsuitable to be offered at the library. I have to say that I agree with them. People have a right to choose what books they want to read, what movies they want to watch, and what music they want to listen to. People have opinions; people disagree. What one person loves, another person could hate. But just because one person dislikes or is offended by a material on a library shelf does not mean that the opportunity to use that material should be denied to all other patrons. I feel that if a resource is checked out by just one individual, and that one individual is able to learn from or enjoy the resource, then the library has achieved its purpose and helped the community by offering that material.      In conclusion, censorship in libraries is limiting and wrong. It creates barriers for those who want to learn and it takes away people's freedom to make decisions for themselves. Everyone should be able to decide whether to pick up a library material, and censorship makes that impossible",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,2,10.0
3993,2,I do not think they should be removed at all. They show a persons opinion on something. We can't just disregard it because we dont like what its saying. Thats like us saying black people aren't allowed here because we don't like how you look. Or just anyone that we dont like how they look.     I think anyone who wants to speak their mind should be able to without having to worry about censorship. I @MONTH1 not agree with all the statements they bring up but they should have a fair chance like anyone else would. You should restrict to age accordingly to content so you don't have little kids reading about stuff they really shouldn't be.     I could get a book removed because it offends me. Well then I could get a franchise closed because it offends me. People are offened by little things and should jut except the fact that other people have different opinions. It's just like judging a person for their race. They have differnt morales and values and you can't just change that in a person.     Like if you don't like this article just don't read it. Don't say other people can't read it because of your views. I don't think there should be censorship.,3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,3,14.0
3143,2,"To start, if any materials in the library such as books, music, movies, or magazines are found offensive i believe that they should still remain on the shelves. This book or music @MONTH1 be offensive but everyone is intitled to their own opinon. People have all the freedom to read, listen or watch anything that is approperite to them. I believe it should all be up to the individual to chose what they should do with what @MONTH1 offend others.      Also from my own exprience i have read a book about @CAPS1 @CAPS2 in the stadges of our history where they were salves and were hung for their punishment. It @MONTH1 offend some that their local library having a book on such a terrible topic but it is found that it is part of history and others @MONTH1 find it interesting to go back a learn more information. It does not have to mean that they are rascist or trying to offend you they would just like to learn more about our history. Each person has had topics that offend them but the libraries can not make all happy. If you chose to pick a book, watch a movie, or listen to music that @MONTH1 offend someone then it shouldn't be removed, if you would like to read, watch or listen to anything that @MONTH1 offend someone then it should be up to you to decide what to do about it.        Therefore, i conclude that if any books, music, movies, or magazines are found offensive they should remain on the shelves. Everyone @MONTH1 have their own opinon or have their own ideals that offend them but it is our job to let those people choose their liking of anything open in our local libraries. It is for their own benifit, not for yours. It is up to you to decide wheather or not to come about the situation. Libraries should not be held responsable and have to removed anything open to the people that @MONTH1 just be part of our background",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,8,8.0
3513,2,"In libraries, is censorship truly needed? I believe there should be some censorship to some extent.     Libraries are usually pretty good at sorting things. I mean, they do use the @ORGANIZATION1 in every library I've been in. But even when they do sort the books, music, and magazines by topic, there's always something offensive that can fit in that topic as well.     I remember as a child of seven or eight going to the library all the time with my mother. I realized I was getting too old for the 'kiddy book section,' so I ventured forth to places I've never been before. Any isle of books was open to anyone, I felt that I had the world in the palm of my hand.      Most of the books were too mature of a read for me anyways, butt I still looked through them all. I mean, it was something very new to me; almost like an adventure. Then, I came across the music.     There were so many inappropriate titles, cover-arts, and even names of bands. But this perked my curiosity. I remember thinking to myself, 'were books this way too?' I soon found out yes, they were. There were even doctor books with graphic images. The worst were books with cuss words that I found. Innocence in the library was gone.     I think libraries should have a different section for older, more mature people; not including children. Some people loves books, and will open any book just to read or look at the pictures. Libraries need to realize that. I was once that little kid who opened the wrong book, at the wrong time.    In conclusion, I think libraries should have at least some censorship. I understand that people enjoy the books and music that once terrored me, but I think there should be something done about it",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,10,6.0
4583,2,"Nobody should believe that we have the choice to take books off the shelves of a library. America is a free country and we can write whatever we want. Everyone has freedom of speach, your just taking that admendment and putting it into music, books, or a movie. When you are looking for a book and you find one that seems offensive just put it back on the shelf and move on.     Everyone have seen a lot of things that are offensive to races and beliefs. You hear jokes that are offensive but that is all that it is a joke and it is not to be taken seriously. I have read a book recently called '@CAPS1's your @CAPS2' it was not what I thought it would be, so I just put it down and picked up a different book and kept on reading. If everybody were able to take books out of a library just because it was offensive would we have any books at all? Movies have a protection against this called ratings. The ratings are from '@CAPS3 to @CAPS4.' If the movie you watch is more towards the @CAPS4 section then it will have more offensive language and violent scenes. That is why there is always a blocked off section at a dvd rental store. That section is only for mature people of the ages @NUM1 or older. If by any chance your kid strays in there and finds somthing not suited for him and you really get fired up just think @CAPS1 let him wonder into that section. @CAPS1 should be watching him at all times, @CAPS1 is responsible for him?      I do not agree that reading material or anything in that matter should be taken off of a shelf. Thats like saying if someone did not like how the @CAPS5 of @CAPS6 was worded they could just take it down and throw it away. We would have nothing to read. So the next time you see something that is offensive just put it back and move on",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,6,12.0
3237,2,No I do not belive that certain materials should be removed. I belive that people should be able to have freedom of speech. I also belive that if somebody has something on their mind they should should be able to say it. I all ways tell peolple to mean what you say and say whay you mean. Now if its younger kids getting ahold of magazines and movies with inpropriate material in it then yes it should be censored or they shouldn't be placed in places with younger kids can get to them,2,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,1,14.0
3174,2,"I do believe that some places have magizines, books, movies, and music that need to be removed from all shelfs. Just think, if you had childern would you want them getting ahold of a magizine with nude men or women in it. Yes people tell you they have control of there kids in stores, but i know you see kids all the time walking away or roming off to try to do what they want, and go to places they shouldnt be like magizines for instence. Would you want to find your little one looking at a magizine with nude wemon in it? Thats not the things kids should be finding in stores, its not nessacary.     Same deal goes with movies, say you rent a movie from one of your many movie places and it has nudity or cursing in it, do want that around your kids? i know i wouldnt, cause kids are like monkeys, monkey see monkey do, and you dont want your little one walking aroud cussing at you. I have little cousins and ive seen it happen many times where they cuss back at there parents, and when the parents ask them where they heard that its usually the same answer, tv or movies.      So do you really think it's nessacary to have all that bad stuff around for anyone, of many ages to see? It's not. Everything like that just needs to be taken off all shelf and destoryed, cause I shouldnt have to see it and niether should anyone else, its gross, nasty, and inrepropriet to childern. I say get read of it all and do everyone a favor",3,10,persuasive,"""All of us can think of a book that we hope none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf -- that work I abhor -- then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any ofus."" --Katherine Paterson, Author 
Write a persuasive essay to a newspaper reflecting your views on censorship in libraries. Do you believe that certain materials, such as books, music, movies, magazines, etc., should be removed from the shelves if they are found offensive? Support your position with convincing arguments from your own experience, observations, and/or reading.",low,1,5.0
