essay_id,essay_set,essay,domain1_score,grade_level,type,prompt,strat,tid1,tid2
1699,1,"Dear Newspaper, I think that computers have a good effect on peoples' lives. You can do alot of stuff on the internet that costs too much to do without it. You can study different foods and cultures around the world. If you play games online you can get better hand-eye coordination skills. There are also things you can buy to video chat with family or friends. The computer is very convinient and useful. If you are interested in a place in the world you can type in the name of the place and get facts about cultures, foods, and more. Instead of buying an airline ticket to see @LOCATION1, you can go online to learn @CAPS1 language. You can also study food s that people eat and the clothes they wear. You can also learn sports and games. If you play games on the computer you can get a better hand-eye coordination. Most games you can daunloads and are free. There are puzzle games that challenge you, action that are fun and take rapid button pressing, and adventure that let you explore new lands. And in alot of these games you can talk to people and make friends. There are otherways to talk instead of games. There is email, chat rooms, facebook, twitter, and video chat. With any of these things you can talks to friends or family around the world or in your state/country. All of these you can either download, go on the internet for, or buy them. You can talk to old friends or you can talk to family you havent seen in a while. Video chat you can see eacho ther, face book you can share pictures and chat rooms you can talk with multiple people. In conclusion computers are very convinient for our society today. Whether it's studying the world, having fun, or talking to people you know, the computer has many wonderous things for people",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,11,11.0
1318,1,"Dear editor, I agree with having computers in our homes. I think that computers are good because of these reason. The computer has a-lot of information that you can look up. Also the computer can save a-lot of important things you need. Then you can comunicate with people far away. I think that a computer is a really good thing becouse you can look up varius things like something about someones life that way important. You can look up a website that tells you about a word or a car that you need to learn about for school or work. You can look up something that happed a long time ago @NUM1 or @DATE1 that was a. Then you could look up a your family tree and send out who you are routed to one how was or family in the past time, you could look up your book account or your e-mail on the computer to. So this is one reason that I think a computer is good for. Another reason why I would think that a computer is a good thing for anyone it can save a-lot of important things. Some you could save important from your past. Also you need save your reports for your school or work. Then you can save pictures from when you you on occation. You could favorite websites to your favorites so you can go to it any time you want to. This is another reason why I think computers are a good thing. One last reason why I think that computers are a good thing is because you can comunicate with people far away. You can have family that just went on and you can keep in touch with them through your e-mail, myspace, facebok, ect. You could vidio chat with your friends or family that lives in a diffrent place. You could go in chats with your co-workers or your boss for a meeting. This is anothe reason why I think computers are a good thing. So as you can see this is why I think computers are a good thing because of you can look up things, how you can save important things also because you can go and comunicate with your friends. So this is why I think computers are a good thing.",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,7,1.0
944,1,"Dear @CAPS1 I think more and more people use computers because it can help you find a job if you lost it. Because right now some job are going bank ruded. And parants can not help because they didn't have job to support there love ones. Another thing is that cars are going up on prices so if you don't have a lot of money you can go online and get a car and truck for great prices. And it can help you save a lot of money in your pocet. For some reason @NUM1 out of @NUM2 people like to go to far away places for example @CAPS2, put or @LOCATION1, @CAPS3. And you if go to these place then you would need place to stay and have a good meal with your family or friends. So you would need a nice pleasant holetitle which will have awsome food, beds, pools and more thing people like to do when they is on vaction. And for example if your mother or father what you to go to your public school but you don't what too because you heared something or about the school say because you cant find great school online for example @CAPS4, cap pre, classicle, brizzal, And some other school are the best to and fun to go to and be succesful with your life. Now you know why more and more people use computers and you should always use technology and it would help you on the hand eye giving people the ability to learn about use computers.",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,3,15.0
13,1,Dear local newspaper I raed ur argument on the computers and I think they are a positive effect on people. The first reson I think they are a good effect is because you can do so much with them like if you live in mane and ur cuzin lives in califan you and him could have a wed chat. The second thing you could do is look up news any were in the world you could be stuck on a plane and it would be vary boring when you can take but ur computer and go on ur computer at work and start doing work. When you said it takes away from exirsis well some people use the computer for that too to chart how fast they run or how meny miles they want and sometimes what they eat. The thrid reson is some peolpe jobs are on the computers or making computers for exmple when you made this artical you didnt use a type writer you used a computer and printed it out if we didnt have computers it would make ur @CAPS1 a lot harder. Thank you for reading and whe you are thinking adout it agen pleas consiter my thrie resons.,7,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,12,10.0
465,1,"Computers, computers, computers. Who doesn't own them right? They teach hand eye coordination, give people to learn about faraway places and people can you actually believe some people say otherwise? I think that's pure bull !@. Computer's today help us with everyday tools, such as cars, cellphones and your everday television! Computer's also make work easier, and you interact with people! I for one think computers benefit society today, and those people who think otherwise should look into it one move step. Cellphones, cars, telephones want! There all made by mankind, but with a bit of technology. Did you know that @PERCENT1 of cars have computers biult in em? By the press of the button, all doors unlocked, by a swith the windows go down, yes, by computer. Now, how do computer's make life easier you say? Well keep reading to find out! The toothpaste, the baseball bats the pencils you we are all made by, the yoou know what! Machines, but programed with computer chips. Oh i remember when my history teacher told me that it took @NUM1 hours to make a baseball bat by a human from scratch. Now it takes like @NUM2 minutes with the help of comuters. If this isn't enough to tell you that computers benefit us, then what will?! Experts say people who use computers a lot don't get outside often to interact with family, but that's false I say! Cellphones are a everyday tool, we use them to talk with each other of long distant calls pay? Well then chat online on your own personal labtop! I hope now you believe computers do really benefit us. With there everday items we use, how they make work easier, and how it does make us interact. We use them everday, and hopefully they'll be around for the longest.",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,15,7.0
599,1,"There has been a debate weather computers benefit society or hurt society. I personnaly agree with th statement that computers benefit in society. I think that computers do improve your hand-eye coordination. When you can type fast and accuratly you know your hand eye coordination is doing well. I remeber as a kid I would watch my grandmother type about seventy-five words per minute. Just from her year of practice, she becamr very computer coordinated. My hand-eye coordination is becoming a lot better because I have types for a long time. Scientists say that @PERCENT2 or people that type for at least four years become better hand-eye coordinated typing fast keeps your fingers quick and agile. I once read a book on computers and an expert said ""the invention of the computer keyboard could possibly be the greates hand-eye coordination practice ever."" @CAPS1 plus about computers is that they allow you to learn about far away places wtihout really going there. In school you can do projects on other countries without traveling just by using a computer. I once had to do a class project on @LOCATION1 and got a @PERCENT1 just by using a computer, people can look up information on countries for pleasure too. Mu mom just wanted to learn about @LOCATION2 so she just looked it up on the internet from her computer. You can research schoold too. My older sister went online to bok at collges without acctually traveling to the actual college states. Finally one more thing you can do on a computer is talk to people online. There is such a thing as @CAPS2-mail which allows you to write people over the internet on the computer. I remember when my baseball coach was going to tell me I made the team he just @CAPS2-mailed my parents because it was the most simple way to get it done. There is also such a thing as @CAPS4 (instant messaging) that allows you to imediatly talk to somebody and for them to immidiatly talk to you back. I remeber I used to go on @CAPS4 everyday to talk to friends. Also you can video chat which allows you to directly see somebody and actually talk to them physically. I read a news article on video chatting and an expert said ""video chatting is the single best way to communicate with someone without being right inforn of them talking with them. These reasons are why I think computers are a big help in our society.",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,10,5.0
1215,1,"Do you know that square box with a screen on @CAPS11? Or that rectangular snaped objected with letters on @CAPS11? Or that other rectangular box where you put a disk, a usb, and you turn @CAPS11 on at. All that is a computer. Yes! @CAPS11 is fun, you @CAPS3 play games, go on internet, watch videos, and check your mail. If you had a computer everything would be easy but @CAPS2 nor. @NUM1 reasons why is if you have kids and they go on your computer you have at home @CAPS11 @CAPS3 cause them addiction, @CAPS11 @CAPS3 be inaproprite, and @CAPS11 could be exspensive. Pleases near my reasons and give me a fighting chance. The first reason why computers are bad because @CAPS11 @CAPS3 cause addition to your child. @CAPS12 a problem because your child bother you and say, ""@CAPS1 or @CAPS7 @CAPS3 I go on the computer pleace"". And you say yes and when you let thom on they will be happy when you say. ""@CAPS2 time to act off the computers"" they will say ""@CAPS3 I stay on just for a little longer or I dont wanna act off @CAPS4 in a middle of a game."" @CAPS5 when they finnally act of and thir nexted day they will ask you again ""@CAPS6 or @CAPS7 @CAPS3 I go on the computer"" and if you say ""@CAPS8"" they will cry and throw a temper And the more you let them on the they will wanna stay @CAPS9 if you say, ""@CAPS8"" you will get a The second reason why @CAPS2 a bad thing to have a computer is because @CAPS11 @CAPS3 inaproprite, @CAPS11 @CAPS3 be inaproprite because you child is growing up he or she will go ento the internet and lat a things like nude pictures or videos about a or a that world to lead your child having sexual intercorse. There you will but at the age of @NUM2 to @NUM3 years old and you they of inaproprate a computer @CAPS3 do. @CAPS9 last but not least the last reasons why a computer is bad because they are computers cost about @MONEY1 more a days and you @CAPS3 broth your computer and @CAPS11 will cost you a lot get @CAPS11 fixed or to get a new one and they will be on @CAPS11 even more or they @CAPS3 press @CAPS11 up trust me I know. @CAPS5 @CAPS12 why a computer isnt always a good thing. Now that you hav heard my reasons I hope you take this info consederations and think about @CAPS11 you really want a computer or not they are good and easy but they also have some bad side effects. All the facts are true ans I say about @NUM4 people in the world go threw computers every year @CAPS5 think hard. Do you",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,9,4.0
278,1,"Dear local newspaper, I think that computers effect people in a positive way. Computers increases our knowlage, lets us communicate with our friends and family, teaches us hand-eye coordination, and lets us see our news faster. Computers are enjoyable, great pieces of technology. Even though sitting down looking at your computer screen is not very interactive, computers increase our knowlage. Computers have all these websites that are full of great information. You can look up anything you would like to learn about and find exactly what you want. Going to the library for a book on your report would consume extra time. Instead you can look up the facts you need online. Computers also let us communicate with family and friends. Calling someone or sending a letter costs money, but sending on email to someone does not. Many people have family and friends that live far away from them. Through computers they can talk to them as long as they want at no expense. You can also see each other through a webcam. Which you can attach to your computer if it has not have in one allready. Another reason why computers are useful is because they help with hand-eye coordination. Computers require you to type, which is a great skill. While working out an essay by hand is tiring and boring you can type up the essay on you computer. Typing takes to get good at but is very helpful. Finally Computers help us get our news foster. When major things happen, such as the earthquake in @LOCATION1 it was all over the internet before the news. In conclusion computers are very useful and help us increase our knowlage, communicate with people, help us with hand-eye coordination, and lets us see our news faster. But most importantly computers are fun!",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,14,6.0
1783,1,"Dear @CAPS1, @CAPS2 several reasons on way I that advances in technology are harmful to our socitey is because it opens doors to strangers on the outside world. Its also takes you away from family and friends. Lastly it also takes you away from enjoying life outside of the internet. One of my severl reasons on way I feel advanced technology is harmful to our socitey is because it opens doors to strangers @CAPS2 teens, adult's and etc. The probem with this is that you never really know whos on the other side of that door, that chat room people can miss guide you into thinking there someone who there not. @CAPS2 example theres a show called dateline. This show is about how young teens put there selev's online and grown or young men click on a picture of you and that opens up a chat line or as I say opening a door, you dont know who's on the other side of that door. So these men online makes these teens trust them and make them feel safe if they are a friend you ""hey can I come over sometime?"" you this young teen thinking thats your friend says yea sure. Dont forget you dont see his picture so he come's over and most of three men are looking @CAPS2 a quick fix. If you know what I mean. This is what go's on during dateline t.v show just imarge how many other kids or teens are out there doing the same thing the difference is they dont get caught. Secondly on why is harmful to our socitey is because it takes you away from your family and friends. It takes you away from your kid's family because that will start to fill as if you love that computer more then them. It take you away friends because they might say hey let's go out to the mall or @CAPS2 a drink youll probably say check up on somethings online. This will one move slowly away from you, all over a computer you will start to lose the people most important to you. My last reason on why you can harm society with teconogly is because it takes you away from living your own life and doing thing's you wanna do like online is a bunch of stuff that everybody else say's is cool. Do what you think and feel is cool. @CAPS2 example if someone posted something saying @NUM1 guys lodon is so cool you gotta go there but youve always wanted to go to @LOCATION1, @CAPS3 thing is that you do get to have enough air outside like your skin will get pail and icky and this is why I feel that way. In covlsion all though some people might think that advanced tencogly is good well cleary there not because they open doors to danger, take you away from friends and family. Also it takes you away from what life has to offer.",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,6,12.0
306,1,"Dear Local Newspaper, Computers are important for growth. They teach us skills like hand-eye coordination, they allow you to talk online, and learn about faraway people and places. I do believe that it benefits society even though many people dont. Nine out of @NUM1 schools use computers on a daily basis and their community is still fine. I know you think its taking away real social time but it really is improving the community. Imagine a student playing basketball, and his teamate passes the ball to him and he can't catch it because he has no hand-eye coordination skills. That wouldnt happen to him if he spent more time on the computer. There are many coordination games on the internet, like pinball of @CAPS1, that help build that up. When you play those games you keep your hand on the mouse or keyboard and your eyes on the screen. It helps you to not look down. When you play basketball, you can catch the ball and still throw it if you have good coordination. out of @NUM1 people keep in touch with family or friends online. Its the greatest feeling when you talk to someone you haven't seen in awhile because you know that they still remember you. When you talk to people online, you get to know them better and they tell you things that they dont want others to know. Also, when you meet up with them, you have more things to talk about. What would happen if you were to go to a location that you thought was nice, but it turned out to be the worst place ever? It would be terrible, but if you looked it up on the internet, you would know the truth about it. Lets say you want to know about someone famous, you look it up on the computer. There are many educational things on the computer that can help you out in life. I do agree with you on one thing. Society is losing its communication skills. Being on the computer all the time isn't doning anyone good. Nobodys picking up the phone and calling their friends to talk. They are distancing themselves from everyone but their computer. We dont want out society to stay this way. The people who spend their day on the computer need to change. I think computers are an asset to the community. Many people believe that computers are ruining everything, but they really aren't. Computers are good for learning about people and places. The question is, do you want people to refrain from using computers? Now is the time to decide, do you want us to use computers to furter our education or not?",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,6,2.0
860,1,"Dear @CAPS1, More and more people do use computers, but it is not a bad thing. Student come home from school tired, bored, and doesn't want to go outside and exercise. Students would rather go on the computer. When students go on the computer they can chat thier friends, listen to music, or learn about distant places. Firstly, students would chat their friends on the computer. When it is winter, students can't go outside and exercise. Students can grab their laptop, and go on their warm and comfortable table bed to chat friends. Maybe a friend can help with homework. Going outside in the winter can make students sick and miss days of school. Secondly, students like to listen to music. Music is an important part to a student because music lyrics can express themselves. Students @MONTH1 be dancing to their favorite song. Dancing is exercise and adults do say we need more exercise. Also students can play very soft music than not doing homework at all. Thirdly, students can learn about distant places. When I am on the computer I type in www.google.com and want to learn about a place where I want sto visit other student might want to learn about places they've never visited. Italy, france, @LOCATION1, and much more places people would want to visit. They would want to learn about places before ever go. In conclusion @CAPS1, more and more people go on the computer, but it does not have to be a bad thing. Yes, students should go exercise but all the time. When students go on the computer they can chat with friends. Secondly, students can listen to music. Thirdly, they can learn about distant places. @CAPS1, it is not a bad thing that students go on the computer.",8,8,persuasive,"More and more people use computers, but not everyone agrees that this benefits society. Those who support advances in technology believe that computers have a positive effect on people. They teach hand-eye coordination, give people the ability to learn about faraway places and people, and even allow people to talk online with other people. Others have different ideas. Some experts are concerned that people are spending too much time on their computers and less time exercising, enjoying nature, and interacting with family and friends. Write a letter to your local newspaper in which you state your opinion on the effects computers have onpeople. Persuade the readers to agree with you.",low,4,3.0
